timestep,reward,speed,crash,success,steering,train_reward,eval_reward
0,10,2.4,0,0,0.02,10,8
1000,18,2.7,0,0,0.05,18,15
2000,27,3.1,0,0,-0.03,27,20
3000,35,3.4,0,1,0.04,35,27
4000,42,3.8,0,1,-0.02,42,32
5000,49,4.1,0,1,0.03,49,36
6000,54,4.3,0,1,-0.01,54,39
7000,59,4.5,0,1,0.02,59,42
8000,62,4.6,0,1,0.01,62,44
9000,64,4.6,0,1,-0.02,64,46
10000,65,4.7,0,1,0.02,65,47
11000,65,4.7,0,1,-0.01,65,48
12000,66,4.8,0,1,0.01,66,48
13000,66,4.8,0,1,-0.02,66,49
14000,66,4.8,0,1,0.02,66,49
15000,67,4.9,0,1,-0.01,67,50
16000,67,4.9,0,1,0.01,67,51
17000,67,4.9,0,1,-0.02,67,51
18000,67,4.9,0,1,0.02,67,52
19000,67,4.9,0,1,-0.01,67,52
